include,exclude_reason,source_types,texts,url,from_urls
no,outside-healthy-eating-scope,sidebar,Education,https://professional.heart.org/en/education,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,sidebar,Guidelines & Statements,https://professional.heart.org/en/guidelines-and-statements,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,sidebar,Journals,https://professional.heart.org/en/journals,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,sidebar,Meetings,https://professional.heart.org/en/meetings,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,sidebar,Professional Membership,https://professional.heart.org/en/professional-membership,https://recipes.heart.org/en | https://recipes.heart.org | https://recipes.heart.org/en/recipes/blueberry-mango-smoothie
no,outside-healthy-eating-scope,sidebar,Professional Membership,https://professional.heart.org/en/professional-membership/become-a-member,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,sidebar,Research,https://professional.heart.org/en/research-programs,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,sidebar,Science News,https://professional.heart.org/en/science-news,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,inline,How much alcohol is too much?,https://professional.heart.org/en/science-news/alcohol-use-and-cardiovascular-disease,https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts
no,outside-healthy-eating-scope,global|sidebar,Noticias sobre salud cardíaca para profesionales,https://professional.heart.org/es,https://www.heart.org/es/healthy-living/healthy-eating/eat-smart/nutrition-basics/aha-diet-and-lifestyle-recommendations
